nd_id,ca_id,hy,value
0,0,292,6321.300967419
0,0,293,7331.868860094
0,0,294,8247.844230586
0,0,295,8440.408895948
0,0,296,8432.123870543
0,0,297,8380.778631322
0,0,298,8261.111081941
0,0,299,8034.158831827
0,0,300,7904.13136993
0,0,301,7902.158182947
0,0,302,7929.281015721
0,0,303,8141.446597381
0,0,304,8622.178017379
0,0,305,8556.747099711
0,0,306,8068.031846794
0,0,307,7562.195177298
0,0,308,7034.468801161
0,0,309,6849.503496951
0,0,310,6432.21179886
0,0,311,6091.1855761
0,0,312,5853.744309824
0,0,313,5722.894509661
0,0,314,5593.676364463
0,0,315,5733.713465573
0,0,316,6299.213364913
0,0,317,7316.765602457
0,0,318,8194.810291361
0,0,319,8426.071243091
0,0,320,8405.118582224
0,0,321,8440.446808223
0,0,322,8370.397798099
0,0,323,8178.867933166
0,0,324,8159.948308617
0,0,325,8129.307589597
0,0,326,8179.359283695
0,0,327,8388.046867816
0,0,328,8719.830322257
0,0,329,8556.268817613
0,0,330,8025.680223345
0,0,331,7510.879585899
0,0,332,6937.757336878
0,0,333,6783.836331709
0,0,334,6399.452243481
0,0,335,6076.845407556
0,0,336,5821.696171753
0,0,337,5705.158784513
0,0,338,5572.391060929
0,0,339,5711.217895218
0,0,340,6314.23947423
0,0,341,7378.796262859
0,0,342,8249.255779742
0,0,343,8410.771418927
0,0,344,8433.507891186
0,0,345,8498.97434237
0,0,346,8458.617016781
0,0,347,8276.060438122
0,0,348,8216.483583211
0,0,349,8136.355605593
0,0,350,8111.251641498
0,0,351,8350.303899166
0,0,352,8715.442364745
0,0,353,8643.658938673
0,0,354,8199.771007343
0,0,355,7715.954598287
0,0,356,7192.484106364
0,0,357,7024.499071109
0,0,358,6525.48162215
0,0,359,6160.444738837
0,0,360,5911.885141923
0,0,361,5776.534166459
0,0,362,5626.321434219
0,0,363,5755.452205125
0,0,364,6370.594215978
0,0,365,7335.754910582
0,0,366,8250.543478055
0,0,367,8459.949871483
0,0,368,8492.250297606
0,0,369,8445.336729321
0,0,370,8397.908928482
0,0,371,8072.30256653
0,0,372,7892.537421559
0,0,373,7778.967578755
0,0,374,7763.120198888
0,0,375,7974.396119929
0,0,376,8408.669023332
0,0,377,8276.709764134
0,0,378,7801.948276709
0,0,379,7224.778577955
0,0,380,6712.682548577
0,0,381,6647.497111281
0,0,382,6223.629179795
0,0,383,5910.383227658
0,0,384,5644.980912609
0,0,385,5447.818095205
0,0,386,5276.388780149
0,0,387,5244.897914548
0,0,388,5489.026183876
0,0,389,5793.457006523
0,0,390,6444.597001534
0,0,391,6935.171989974
0,0,392,7301.242513732
0,0,393,7466.208854255
0,0,394,7549.476943789
0,0,395,7346.601945096
0,0,396,7133.786225115
0,0,397,7020.759596046
0,0,398,7057.449289331
0,0,399,7181.946196874
0,0,400,7464.934884227
0,0,401,7343.781477042
0,0,402,6928.196431593
0,0,403,6622.100998186
0,0,404,6218.830722966
0,0,405,6239.352624255
0,0,406,5865.359872225
0,0,407,5531.723016475
0,0,408,5251.520155044
0,0,409,5120.231714456
0,0,410,4965.23878608
0,0,411,4947.840064608
0,0,412,5054.644124761
0,0,413,5182.508678324
0,0,414,5651.625229934
0,0,415,6008.035495059
0,0,416,6381.091007741
0,0,417,6655.297731001
0,0,418,6811.837748601
0,0,419,6613.03801764
0,0,420,6377.216420224
0,0,421,6245.533785842
0,0,422,6237.461256977
0,0,423,6485.745992941
0,0,424,6893.198500708
0,0,425,7024.475612411
0,0,426,6822.061988483
0,0,427,6579.875369845
0,0,428,6290.92543698
0,0,429,6395.819297216
0,0,430,6013.860148739
0,0,431,5804.516394506
0,0,432,5579.288465806
0,0,433,5452.270845671
0,0,434,5335.525306312
0,0,435,5552.44240067
0,0,436,6182.60569593
0,0,437,7258.396227483
0,0,438,8283.014597082
0,0,439,8600.927951045
0,0,440,8668.143492769
0,0,441,8722.453453119
0,0,442,8727.767883782
0,0,443,8508.83610612
0,0,444,8431.226634307
0,0,445,8349.811484545
0,0,446,8338.522338591
0,0,447,8494.510566568
0,0,448,8856.018621131
0,0,449,8785.970583776
0,0,450,8295.85856365
0,0,451,7757.706268427
0,0,452,7195.181187946
0,0,453,7017.584356614
0,0,454,6568.908224762
0,0,455,6298.679844586
0,0,456,6058.920893822
0,0,457,5948.567838342
0,0,458,5806.030815547
0,0,459,5932.373055711
0,0,460,6463.283504638
0,0,461,7516.19107158
0,0,462,8487.409400881
0,0,463,8733.180962087
0,0,464,8770.076332149
0,0,465,8841.321972705
0,0,466,8853.667788361
0,0,467,8635.464259462
0,0,468,8573.431094139
0,0,469,8516.470381127
0,0,470,8457.282976756
0,0,471,8555.693126053
0,0,472,8890.763688382
0,0,473,8826.575887482
0,0,474,8355.631373122
0,0,475,7827.099480662
0,0,476,7234.315943105
0,0,477,7094.129490777
0,0,478,6639.390558567
0,0,479,6379.732178491
0,0,480,6085.452304907
0,0,481,5919.915411993
0,0,482,5796.746922009
0,0,483,5951.91301953
0,0,484,6525.630342994
0,0,485,7537.515708967
0,0,486,8509.487623575
0,0,487,8765.875288539
0,0,488,8802.767113753
0,0,489,8845.429282926
0,0,490,8790.053711696
0,0,491,8597.110550776
0,0,492,8475.545666861
0,0,493,8365.802380493
0,0,494,8363.38216528
0,0,495,8456.414724282
0,0,496,8766.548336322
0,0,497,8666.202328973
0,0,498,8211.532274425
0,0,499,7672.43954597
0,0,500,7079.799214322
0,0,501,6937.760825109
0,0,502,6507.120948256
0,0,503,6180.318689505
0,0,504,5928.756208921
0,0,505,5750.850032888
0,0,506,5644.81580245
0,0,507,5766.932425039
0,0,508,6340.70134103
0,0,509,7290.702579029
0,0,510,8275.891810852
0,0,511,8554.721299249
0,0,512,8611.648669378
0,0,513,8680.725634929
0,0,514,8662.390981008
0,0,515,8481.465432628
0,0,516,8383.819116587
0,0,517,8290.668775053
0,0,518,8251.567232197
0,0,519,8362.685958841
0,0,520,8698.228095406
0,0,521,8581.997299879
0,0,522,8112.318787374
0,0,523,7588.219414018
0,0,524,7077.27857283
0,0,525,6928.300419582
0,0,526,6501.335286788
0,0,527,6105.397287304
0,0,528,5816.930035696
0,0,529,5696.238014141
0,0,530,5552.908009954
0,0,531,5689.064227428
0,0,532,6260.40915705
0,0,533,7259.098677547
0,0,534,8195.107663958
0,0,535,8577.810986286
0,0,536,8672.240187142
0,0,537,8772.521026071
0,0,538,8769.752181861
0,0,539,8607.043819539
0,0,540,8470.869268238
0,0,541,8362.902549319
0,0,542,8293.848682406
0,0,543,8345.44623856
0,0,544,8608.579352635
0,0,545,8483.684762912
0,0,546,8011.672012892
0,0,547,7482.101797167
0,0,548,6927.701428895
0,0,549,6879.561573444
0,0,550,6476.946323778
0,0,551,6176.140394906
0,0,552,5892.899749233
0,0,553,5680.178109235
0,0,554,5493.808202649
0,0,555,5509.541659002
0,0,556,5733.212237355
0,0,557,5993.754468023
0,0,558,6683.036442766
0,0,559,7144.82388914
0,0,560,7489.659674185
0,0,561,7670.403002023
0,0,562,7740.666441671
0,0,563,7556.682917743
0,0,564,7381.253187372
0,0,565,7203.158018666
0,0,566,7145.999235085
0,0,567,7273.575297123
0,0,568,7560.318134845
0,0,569,7439.609018024
0,0,570,7057.07361608
0,0,571,6723.924586488
0,0,572,6340.426893722
0,0,573,6399.450714508
0,0,574,6006.260896453
0,0,575,5712.283063248
