hy,nd_id,fl_id,value
169,2,17,16.11
169,3,17,35.87
170,1,17,40.98
170,2,17,14.93
170,3,17,30.17
171,1,17,39.18
171,2,17,15.0
171,3,17,24.54
172,1,17,44.2
172,2,17,19.04
172,3,17,32.0
173,1,17,47.02
173,2,17,26.17
173,3,17,40.96
174,1,17,49.44
174,2,17,38.34
174,3,17,49.53
175,1,17,49.99
175,2,17,37.7
175,3,17,48.07
176,1,17,49.43
176,2,17,32.99
176,3,17,48.75
177,1,17,48.76
177,2,17,31.95
177,3,17,49.29
178,1,17,48.04
178,2,17,33.59
178,3,17,49.33
179,1,17,48.09
179,2,17,34.37
179,3,17,48.43
180,1,17,48.35
180,2,17,35.08
180,3,17,47.21
181,1,17,48.41
181,2,17,34.45
181,3,17,43.47
182,1,17,48.42
182,2,17,38.12
182,3,17,38.27
183,1,17,48.47
183,2,17,32.47
183,3,17,41.07
184,1,17,48.1
184,2,17,36.49
184,3,17,47.97
185,1,17,47.42
185,2,17,31.82
185,3,17,51.25
186,1,17,46.75
186,2,17,32.93
186,3,17,50.31
187,1,17,46.69
187,2,17,29.44
187,3,17,47.97
188,1,17,46.31
188,2,17,28.62
188,3,17,40.5
189,1,17,46.91
189,2,17,26.71
189,3,17,43.8
190,1,17,41.0
190,2,17,15.93
190,3,17,44.05
191,1,17,42.44
191,2,17,11.55
191,3,17,32.06
192,1,17,41.31
192,2,17,13.47
192,3,17,29.71
193,1,17,41.98
193,2,17,11.23
193,3,17,28.53
194,1,17,41.06
194,2,17,9.37
194,3,17,23.75
195,1,17,41.07
195,2,17,10.33
195,3,17,16.05
196,1,17,44.07
196,2,17,10.57
196,3,17,21.44
197,1,17,45.48
197,2,17,20.08
197,3,17,31.86
198,1,17,46.98
198,2,17,34.24
198,3,17,44.0
199,1,17,47.93
199,2,17,29.99
199,3,17,45.82
200,1,17,47.28
200,2,17,28.33
200,3,17,45.59
201,1,17,47.95
201,2,17,28.51
201,3,17,42.52
202,1,17,47.95
202,2,17,31.69
202,3,17,41.57
203,1,17,47.9
203,2,17,31.11
203,3,17,41.01
204,1,17,46.98
204,2,17,29.95
204,3,17,39.24
205,1,17,46.92
205,2,17,29.17
205,3,17,36.29
206,1,17,46.95
206,2,17,29.47
206,3,17,29.47
207,1,17,46.95
207,2,17,30.09
207,3,17,30.09
208,1,17,45.96
208,2,17,33.47
208,3,17,35.43
209,1,17,45.91
209,2,17,32.78
209,3,17,41.0
210,1,17,44.94
210,2,17,33.47
210,3,17,38.95
211,1,17,44.58
211,2,17,30.11
211,3,17,32.53
212,1,17,44.95
212,2,17,26.69
212,3,17,26.69
213,1,17,45.66
213,2,17,21.64
213,3,17,26.56
214,1,17,43.28
214,2,17,14.72
214,3,17,25.26
215,1,17,37.06
215,2,17,17.1
215,3,17,19.04
216,1,17,35.08
216,2,17,12.93
216,3,17,15.96
