pp_id,ca_id,hy,value
2,0,30,3.18962043e-05
0,0,30,3.18962043e-05
3,0,30,8.0050492e-05
1,0,30,8.36439426e-05
2,0,31,3.18962043e-05
0,0,31,3.18962043e-05
3,0,31,8.0050492e-05
1,0,31,8.36439426e-05
2,0,32,3.18962043e-05
0,0,32,3.18962043e-05
3,0,32,8.0050492e-05
1,0,32,8.36439426e-05
2,0,33,3.18962043e-05
0,0,33,3.18962043e-05
3,0,33,8.0050492e-05
1,0,33,8.36439426e-05
2,0,34,3.18962043e-05
0,0,34,3.18962043e-05
3,0,34,8.0050492e-05
1,0,34,8.36439426e-05
2,0,35,3.18962043e-05
0,0,35,3.18962043e-05
3,0,35,8.0050492e-05
1,0,35,8.36439426e-05
2,0,36,3.18962043e-05
0,0,36,3.18962043e-05
3,0,36,8.0050492e-05
1,0,36,8.36439426e-05
2,0,37,3.18962043e-05
0,0,37,3.18962043e-05
3,0,37,8.0050492e-05
1,0,37,8.36439426e-05
2,0,38,3.18962043e-05
0,0,38,3.18962043e-05
3,0,38,8.0050492e-05
1,0,38,8.36439426e-05
2,0,39,3.18962043e-05
0,0,39,3.18962043e-05
3,0,39,8.0050492e-05
1,0,39,8.36439426e-05
2,0,40,3.18962043e-05
0,0,40,3.18962043e-05
3,0,40,8.0050492e-05
1,0,40,8.36439426e-05
2,0,41,3.18962043e-05
0,0,41,3.18962043e-05
3,0,41,8.0050492e-05
1,0,41,8.36439426e-05
2,0,42,3.18962043e-05
0,0,42,3.18962043e-05
3,0,42,8.0050492e-05
1,0,42,8.36439426e-05
2,0,43,3.18962043e-05
0,0,43,3.18962043e-05
3,0,43,8.0050492e-05
1,0,43,8.36439426e-05
2,0,44,3.18962043e-05
0,0,44,3.18962043e-05
3,0,44,8.0050492e-05
1,0,44,8.36439426e-05
2,0,45,3.18962043e-05
0,0,45,3.18962043e-05
3,0,45,8.0050492e-05
1,0,45,8.36439426e-05
2,0,46,3.18962043e-05
0,0,46,3.18962043e-05
3,0,46,8.0050492e-05
1,0,46,8.36439426e-05
2,0,47,3.18962043e-05
0,0,47,3.18962043e-05
3,0,47,8.0050492e-05
1,0,47,8.36439426e-05
2,0,48,3.18962043e-05
0,0,48,3.18962043e-05
3,0,48,8.0050492e-05
1,0,48,8.36439426e-05
2,0,49,3.18962043e-05
0,0,49,3.18962043e-05
3,0,49,8.0050492e-05
1,0,49,8.36439426e-05
2,0,50,3.18962043e-05
0,0,50,3.18962043e-05
3,0,50,8.0050492e-05
1,0,50,8.36439426e-05
2,0,51,3.18962043e-05
0,0,51,3.18962043e-05
3,0,51,8.0050492e-05
1,0,51,8.36439426e-05
2,0,52,3.18962043e-05
0,0,52,3.18962043e-05
3,0,52,8.0050492e-05
1,0,52,8.36439426e-05
2,0,53,3.18962043e-05
0,0,53,3.18962043e-05
3,0,53,8.0050492e-05
1,0,53,8.36439426e-05
2,0,54,3.18962043e-05
0,0,54,3.18962043e-05
3,0,54,8.0050492e-05
1,0,54,8.36439426e-05
2,0,55,3.18962043e-05
0,0,55,3.18962043e-05
3,0,55,8.0050492e-05
1,0,55,8.36439426e-05
2,0,56,3.18962043e-05
0,0,56,3.18962043e-05
3,0,56,8.0050492e-05
1,0,56,8.36439426e-05
2,0,57,3.18962043e-05
0,0,57,3.18962043e-05
3,0,57,8.0050492e-05
1,0,57,8.36439426e-05
2,0,58,3.18962043e-05
0,0,58,3.18962043e-05
3,0,58,8.0050492e-05
1,0,58,8.36439426e-05
2,0,59,3.18962043e-05
0,0,59,3.18962043e-05
3,0,59,8.0050492e-05
1,0,59,8.36439426e-05
2,0,60,3.18962043e-05
0,0,60,3.18962043e-05
3,0,60,8.0050492e-05
1,0,60,8.36439426e-05
2,0,61,3.18962043e-05
0,0,61,3.18962043e-05
3,0,61,8.0050492e-05
1,0,61,8.36439426e-05
2,0,62,3.18962043e-05
0,0,62,3.18962043e-05
3,0,62,8.0050492e-05
1,0,62,8.36439426e-05
2,0,63,3.18962043e-05
0,0,63,3.18962043e-05
3,0,63,8.0050492e-05
1,0,63,8.36439426e-05
2,0,64,3.18962043e-05
0,0,64,3.18962043e-05
3,0,64,8.0050492e-05
1,0,64,8.36439426e-05
2,0,65,3.18962043e-05
0,0,65,3.18962043e-05
3,0,65,8.0050492e-05
1,0,65,8.36439426e-05
2,0,66,3.18962043e-05
0,0,66,3.18962043e-05
3,0,66,8.0050492e-05
1,0,66,8.36439426e-05
2,0,67,3.18962043e-05
0,0,67,3.18962043e-05
3,0,67,8.0050492e-05
1,0,67,8.36439426e-05
2,0,68,3.18962043e-05
0,0,68,3.18962043e-05
3,0,68,8.0050492e-05
1,0,68,8.36439426e-05
2,0,69,3.18962043e-05
0,0,69,3.18962043e-05
3,0,69,8.0050492e-05
