nd_id,ca_id,swhy_vl,hy,price_eur_mwh,volume_mwh
1,0,yr2015,233,44.96,2345.1
1,0,yr2015,234,42.05,2150.0
1,0,yr2015,235,41.42,2206.1
1,0,yr2015,236,41.4,2438.9
1,0,yr2015,237,41.45,2438.5
1,0,yr2015,238,32.07,2110.8
1,0,yr2015,239,37.63,2358.8
1,0,yr2015,240,29.37,2427.8
1,0,yr2015,241,25.09,2263.2
1,0,yr2015,242,12.08,2271.2
1,0,yr2015,243,11.02,2306.8
1,0,yr2015,244,11.09,2241.2
1,0,yr2015,245,21.09,2142.4
1,0,yr2015,246,15.5,2290.1
1,0,yr2015,247,18.39,2087.7
1,0,yr2015,248,28.65,2131.3
1,0,yr2015,249,33.88,2103.3
1,0,yr2015,250,33.93,1979.0
1,0,yr2015,251,36.59,1937.7
1,0,yr2015,252,20.63,1936.4
1,0,yr2015,253,29.58,1963.4
1,0,yr2015,254,34.93,2013.9
1,0,yr2015,255,43.0,2020.3
1,0,yr2015,256,45.02,2078.3
1,0,yr2015,257,45.1,2039.7
1,0,yr2015,258,44.33,2070.0
1,0,yr2015,259,42.93,2124.6
1,0,yr2015,260,43.04,1912.4
1,0,yr2015,261,41.98,2063.8
1,0,yr2015,262,38.7,1988.5
1,0,yr2015,263,28.08,1959.3
1,0,yr2015,264,25.06,2165.0
1,0,yr2015,265,19.66,2111.1
1,0,yr2015,266,14.67,2201.7
1,0,yr2015,267,23.45,2043.4
1,0,yr2015,268,36.37,2082.8
1,0,yr2015,269,45.86,1927.9
1,0,yr2015,270,47.95,2169.1
1,0,yr2015,271,47.72,2073.6
1,0,yr2015,272,47.17,2015.3
1,0,yr2015,273,46.34,2040.2
1,0,yr2015,274,46.82,2098.3
1,0,yr2015,275,45.18,2026.4
1,0,yr2015,276,43.92,2145.1
1,0,yr2015,277,44.86,2327.1
1,0,yr2015,278,45.0,2118.4
1,0,yr2015,279,45.8,2075.2
1,0,yr2015,280,43.32,2007.2
1,0,yr2015,281,46.95,2030.4
1,0,yr2015,282,46.42,2023.9
1,0,yr2015,283,42.68,2167.6
1,0,yr2015,284,43.97,1798.9
1,0,yr2015,285,45.27,1790.4
1,0,yr2015,286,41.93,1621.1
1,0,yr2015,287,40.88,2313.3
1,0,yr2015,288,37.99,2350.7
1,0,yr2015,289,37.02,2444.6
1,0,yr2015,290,36.57,2343.2
1,0,yr2015,291,36.54,2122.8
1,0,yr2015,292,41.0,2235.9
1,0,yr2015,293,43.92,2123.5
1,0,yr2015,294,47.97,2320.1
1,0,yr2015,295,48.6,2513.5
1,0,yr2015,296,48.05,2290.5
1,0,yr2015,297,46.92,2296.0
1,0,yr2015,298,46.91,2297.5
1,0,yr2015,299,46.23,2261.3
1,0,yr2015,300,46.94,2362.3
1,0,yr2015,301,46.9,2256.9
1,0,yr2015,302,46.07,2427.2
1,0,yr2015,303,46.63,2347.6
1,0,yr2015,304,45.98,2680.3
1,0,yr2015,305,47.98,2523.3
1,0,yr2015,306,47.01,2929.1
1,0,yr2015,307,42.98,2776.4
1,0,yr2015,308,43.3,2359.3
1,0,yr2015,309,44.3,2373.2
1,0,yr2015,310,37.92,2175.0
1,0,yr2015,311,42.01,2040.5
1,0,yr2015,312,40.04,2160.4
1,0,yr2015,313,39.15,2183.6
1,0,yr2015,314,39.58,2244.4
1,0,yr2015,315,39.57,2117.3
1,0,yr2015,316,42.0,2093.7
1,0,yr2015,317,44.62,2179.4
1,0,yr2015,318,46.93,2564.2
1,0,yr2015,319,49.97,2977.8
1,0,yr2015,320,49.94,2863.9
1,0,yr2015,321,49.64,2705.0
1,0,yr2015,322,49.49,2720.5
1,0,yr2015,323,47.12,2493.6
1,0,yr2015,324,46.91,2168.9
1,0,yr2015,325,47.11,2274.2
1,0,yr2015,326,46.96,2180.9
1,0,yr2015,327,46.98,2404.2
1,0,yr2015,328,48.45,2683.0
1,0,yr2015,329,49.99,3193.9
1,0,yr2015,330,48.56,2410.1
1,0,yr2015,331,44.95,2854.6
1,0,yr2015,332,44.68,2349.9
1,0,yr2015,333,45.09,2251.6
1,0,yr2015,334,41.95,1991.7
1,0,yr2015,335,35.1,2319.2
1,0,yr2015,336,35.1,2443.0
1,0,yr2015,337,35.03,2341.7
1,0,yr2015,338,35.05,2439.7
1,0,yr2015,339,35.06,2427.1
1,0,yr2015,340,42.03,2324.5
1,0,yr2015,341,45.06,1975.3
1,0,yr2015,342,46.0,2549.1
1,0,yr2015,343,46.08,2422.3
1,0,yr2015,344,46.08,2616.6
1,0,yr2015,345,46.08,2364.0
1,0,yr2015,346,46.4,2345.7
1,0,yr2015,347,46.44,2269.5
1,0,yr2015,348,46.29,2297.3
1,0,yr2015,349,46.17,2258.3
1,0,yr2015,350,46.07,2269.2
1,0,yr2015,351,46.1,2255.6
1,0,yr2015,352,46.09,2342.0
1,0,yr2015,353,47.37,2405.3
1,0,yr2015,354,46.04,2566.1
1,0,yr2015,355,45.95,2376.1
1,0,yr2015,356,45.88,2304.9
1,0,yr2015,357,45.79,2239.9
1,0,yr2015,358,41.91,2129.3
1,0,yr2015,359,40.03,2209.1
1,0,yr2015,360,37.1,2346.1
1,0,yr2015,361,37.06,2616.3
1,0,yr2015,362,37.0,2680.7
1,0,yr2015,363,37.02,2464.3
1,0,yr2015,364,39.72,2316.9
1,0,yr2015,365,45.97,2256.2
1,0,yr2015,366,48.94,2512.3
1,0,yr2015,367,50.01,2596.6
1,0,yr2015,368,49.46,2564.0
1,0,yr2015,369,48.75,2722.0
1,0,yr2015,370,48.96,2786.1
1,0,yr2015,371,48.96,2590.3
1,0,yr2015,372,48.93,2482.6
1,0,yr2015,373,48.47,2262.6
1,0,yr2015,374,48.4,2230.0
1,0,yr2015,375,48.09,2458.7
1,0,yr2015,376,53.25,3574.4
1,0,yr2015,377,53.58,3612.8
1,0,yr2015,378,50.98,3248.0
1,0,yr2015,379,47.34,2577.7
1,0,yr2015,380,45.98,2367.3
1,0,yr2015,381,45.95,2153.7
1,0,yr2015,382,38.1,2309.7
1,0,yr2015,383,42.0,2161.1
1,0,yr2015,384,40.34,2456.8
1,0,yr2015,385,37.09,2498.6
1,0,yr2015,386,36.86,2445.1
1,0,yr2015,387,33.89,2293.9
1,0,yr2015,388,36.2,2316.6
1,0,yr2015,389,37.06,2179.7
1,0,yr2015,390,42.1,2112.6
1,0,yr2015,391,45.0,2046.2
1,0,yr2015,392,45.94,2148.4
1,0,yr2015,393,46.25,2133.4
1,0,yr2015,394,45.03,1961.0
1,0,yr2015,395,41.06,2476.7
1,0,yr2015,396,40.01,2507.3
1,0,yr2015,397,40.03,2336.4
1,0,yr2015,398,45.82,2377.8
1,0,yr2015,399,47.0,2470.6
1,0,yr2015,400,48.99,2225.2
1,0,yr2015,401,50.03,2632.5
1,0,yr2015,402,48.99,2216.1
1,0,yr2015,403,46.04,2215.2
1,0,yr2015,404,45.92,2500.6
1,0,yr2015,405,45.29,2415.0
1,0,yr2015,406,42.01,2502.2
1,0,yr2015,407,38.49,2490.1
1,0,yr2015,408,34.24,2246.7
1,0,yr2015,409,30.46,2312.1
1,0,yr2015,410,31.32,2463.1
1,0,yr2015,411,27.31,2397.7
1,0,yr2015,412,31.96,2312.4
1,0,yr2015,413,30.6,2279.9
1,0,yr2015,414,31.66,2335.1
1,0,yr2015,415,36.11,2344.3
1,0,yr2015,416,38.31,2226.5
1,0,yr2015,417,38.49,2208.3
1,0,yr2015,418,38.52,2217.8
1,0,yr2015,419,41.85,2304.0
1,0,yr2015,420,38.13,2170.0
1,0,yr2015,421,35.35,2343.4
1,0,yr2015,422,37.06,2241.7
1,0,yr2015,423,38.5,2052.3
1,0,yr2015,424,44.77,2149.5
1,0,yr2015,425,47.91,2687.8
1,0,yr2015,426,47.91,2674.0
1,0,yr2015,427,47.79,2596.2
1,0,yr2015,428,44.53,2155.0
1,0,yr2015,429,44.58,2156.1
1,0,yr2015,430,44.37,2413.0
1,0,yr2015,431,39.16,2156.9
1,0,yr2015,432,37.1,2298.8
1,0,yr2015,433,33.72,2340.2
1,0,yr2015,434,36.51,2384.5
1,0,yr2015,435,37.06,2149.1
