ca_id,cap_pwr_leg,cf_max,discharge_duration,erg_max,factor_vc_co2_lin_0,factor_vc_co2_lin_1,factor_vc_fl_lin_0,factor_vc_fl_lin_1,fc_om,pp_eff,pp_id,st_lss_hr,st_lss_rt,vc_om,vc_ramp,vc_ramp_high,vc_ramp_low,fc_cp_ann
0,5656.0,,0.0,,0.0,0.0,0.0,0.0,39836.363636363596,1.0,6,0.0,0.0,0.2,2.0,2.0,2.0,
0,3992.4604110512105,,504.030419461607,,0.0,0.0,0.0,0.0,47160.0,1.0,1,0.0,0.0,2.0,2.0,2.0,2.0,
0,4000.5395889487895,,3.4990901540342403,,0.0,0.0,0.0,0.0,41683.3333333333,1.0,52,0.0001,0.29993400791904995,1.5,0.0,0.0,0.0,
0,5203.3,,0.0,,0.0,0.0,0.0,0.0,39836.363636363596,1.0,7,0.0,0.0,0.2,2.0,2.0,2.0,
0,13220.9,,583.1886694564499,,0.0,0.0,0.0,0.0,47160.0,1.0,3,0.0,0.0,2.0,2.0,2.0,2.0,
0,3795.9,,5.74257425742574,,0.0,0.0,0.0,0.0,41683.3333333333,1.0,53,0.0001,0.249854481955765,1.5,0.0,0.0,0.0,
0,10322.333333,,0.0,,0.0,0.0,0.0,0.0,39836.363636363596,1.0,9,0.0,0.0,0.2,2.0,2.0,2.0,
0,8214.0,,424.872169466764,,0.0,0.0,0.0,0.0,47160.0,1.0,4,0.0,0.0,2.0,2.0,2.0,2.0,
0,4965.0,,20.3625377643505,,0.0,0.0,0.0,0.0,41683.3333333333,1.0,55,0.0001,0.27866203441868,1.5,0.0,0.0,0.0,
0,1.0,,4.0,,0.0,0.0,0.0,0.0,0.0,1.0,61,0.0,0.1,0.2,0.0,0.0,0.0,
0,1.0,,4.0,,0.0,0.0,0.0,0.0,0.0,1.0,62,0.0,0.1,0.2,0.0,0.0,0.0,
0,1.0,,4.0,,0.0,0.0,0.0,0.0,0.0,1.0,63,0.0,0.1,0.2,0.0,0.0,0.0,
0,1.0,,4.0,,0.0,0.0,0.0,0.0,0.0,1.0,65,0.0,0.1,0.2,0.0,0.0,0.0,
0,1.0,,4.0,,0.0,0.0,0.0,0.0,0.0,1.0,64,0.0,0.1,0.2,0.0,0.0,0.0,
0,0.0,,,,,,,,10000.0,0.6,66,,,3.0,11.425,15.15,7.7,
0,0.0,,,,,,,,10000.0,0.6,67,,,3.0,11.425,15.15,7.7,
0,0.0,,,,,,,,10000.0,0.6,68,,,3.0,11.425,15.15,7.7,
0,0.0,,,,,,,,10000.0,0.6,69,,,3.0,11.425,15.15,7.7,
0,0.0,,,,,,,,10000.0,0.6,70,,,3.0,11.425,15.15,7.7,
0,0.0,,,,,,,,10000.0,0.6,71,,,3.0,11.425,15.15,7.7,72648.9114900472
0,0.0,,,,,,,,10000.0,0.6,72,,,3.0,11.425,15.15,7.7,72648.9114900472
0,0.0,,,,,,,,10000.0,0.6,73,,,3.0,11.425,15.15,7.7,72648.9114900472
0,0.0,,,,,,,,10000.0,0.6,74,,,3.0,11.425,15.15,7.7,72648.9114900472
0,0.0,,,,,,,,10000.0,0.6,75,,,3.0,11.425,15.15,7.7,72648.9114900472
